age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26,Private,240468,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,5060,0,51,United-States,>50K
42,Private,213930,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,>50K
17,Private,117126,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,49,United-States,<=50K
59,Private,380753,7th-8th,4,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,21,United-States,<=50K
41,Private,1110579,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,48,United-States,<=50K
56,Private,104972,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,42,United-States,<=50K
36,Private,383651,Bachelors,13,Divorced,Craft-repair,Own-child,White,Male,0,1977,42,United-States,<=50K
17,Private,74667,Prof-school,15,Never-married,Exec-managerial,Wife,White,Male,0,0,32,United-States,<=50K
74,Private,978812,HS-grad,9,Never-married,Transport-moving,Husband,White,Female,0,0,38,United-States,<=50K
39,State-gov,1223631,HS-grad,9,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,38,United-States,<=50K
23,Private,799767,HS-grad,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,7688,0,29,United-States,<=50K
54,Private,1360040,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,44,United-States,<=50K
66,Private,1036763,Bachelors,13,Widowed,Prof-specialty,Other-relative,White,Male,0,0,56,United-States,<=50K
35,Private,1148902,Some-college,10,Never-married,Other-service,Husband,Black,Male,0,0,26,United-States,<=50K
36,?,479425,7th-8th,4,Divorced,Adm-clerical,Unmarried,White,Male,0,0,45,United-States,<=50K
41,Private,1299498,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,36,United-States,<=50K
22,Self-emp-inc,951456,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
28,Private,141768,Bachelors,13,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,41,United-States,>50K
62,Private,135886,Some-college,10,Separated,Tech-support,Wife,White,Male,0,0,41,United-States,>50K
36,Private,1348525,Some-college,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,42,?,<=50K
26,State-gov,422215,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,29,United-States,<=50K
31,Private,706001,Masters,14,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,51,United-States,<=50K
53,Private,1143732,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,2174,41,United-States,<=50K
17,Private,1155973,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Female,0,0,46,United-States,<=50K
41,Private,53248,Bachelors,13,Married-spouse-absent,Tech-support,Husband,White,Male,0,0,52,?,>50K
72,Private,928631,Some-college,10,Separated,Craft-repair,Unmarried,White,Male,0,0,21,?,>50K
66,Private,1370846,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,46,United-States,>50K
46,Private,533256,HS-grad,9,Divorced,Machine-op-inspct,Husband,White,Male,0,0,38,?,<=50K
56,Federal-gov,820008,Some-college,10,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,<=50K
56,Local-gov,406756,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,0,0,32,?,<=50K
36,Private,1085427,Some-college,10,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,49,United-States,<=50K
50,Private,188659,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,29,United-States,>50K
63,Private,785404,9th,5,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,44,United-States,<=50K
20,Private,626612,Preschool,1,Separated,Sales,Husband,White,Male,3325,0,43,United-States,<=50K
46,Private,966411,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,<=50K
43,Private,747730,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,30,United-States,<=50K
39,Self-emp-not-inc,1472741,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,36,United-States,<=50K
38,Self-emp-not-inc,1474892,HS-grad,9,Never-married,Adm-clerical,Husband,White,Female,0,0,49,United-States,<=50K
41,Private,435528,Doctorate,16,Never-married,Craft-repair,Not-in-family,White,Male,0,0,55,United-States,<=50K
42,State-gov,68450,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,>50K
53,Private,745670,11th,7,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
44,Private,890551,HS-grad,9,Never-married,Prof-specialty,Husband,White,Female,3325,0,43,United-States,>50K
35,Private,1130769,Some-college,10,Never-married,Craft-repair,Husband,White,Male,0,0,44,United-States,<=50K
26,Private,793667,Assoc-acdm,12,Never-married,?,Own-child,White,Male,0,0,59,United-States,<=50K
31,Federal-gov,884977,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,Female,0,0,45,United-States,<=50K
41,Federal-gov,47046,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,41,United-States,>50K
28,Private,1147029,11th,7,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,37,United-States,<=50K
51,?,503326,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,38,United-States,>50K
44,Private,584613,Assoc-voc,11,Never-married,Prof-specialty,Husband,White,Male,0,0,44,United-States,>50K
54,Private,641893,Some-college,10,Separated,Sales,Unmarried,White,Male,0,0,32,United-States,<=50K
29,Private,119487,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,34,United-States,<=50K
26,State-gov,747979,7th-8th,4,Never-married,Other-service,Not-in-family,Black,Female,0,0,39,United-States,<=50K
53,Private,579823,HS-grad,9,Never-married,Other-service,Husband,Black,Male,0,0,35,United-States,>50K
39,Private,360149,7th-8th,4,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,46,United-States,>50K
35,Private,378597,HS-grad,9,Married-civ-spouse,Craft-repair,Unmarried,White,Male,0,0,47,United-States,<=50K
47,?,63707,Preschool,1,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,43,United-States,<=50K
47,Local-gov,1333002,Some-college,10,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,45,United-States,<=50K
20,Self-emp-not-inc,449944,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,41,United-States,>50K
57,Local-gov,1313479,Some-college,10,Never-married,Transport-moving,Husband,White,Female,0,0,2,United-States,>50K
32,Local-gov,1256670,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,31,United-States,<=50K
61,Private,693217,Preschool,1,Married-civ-spouse,Other-service,Husband,White,Female,99999,0,47,United-States,>50K
19,Private,1214284,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,0,0,32,United-States,<=50K
42,Self-emp-not-inc,327242,7th-8th,4,Never-married,Craft-repair,Husband,White,Female,0,0,49,?,<=50K
35,Private,281776,Bachelors,13,Separated,Craft-repair,Husband,White,Male,0,0,49,United-States,>50K
17,Private,1349853,5th-6th,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,<=50K
47,Private,974048,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,34,United-States,<=50K
17,Self-emp-not-inc,1037805,Bachelors,13,Married-civ-spouse,Other-service,Unmarried,Black,Male,0,0,40,United-States,>50K
33,Private,1386463,Some-college,10,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
53,State-gov,33744,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,46,United-States,<=50K
30,Private,268924,Some-college,10,Widowed,Craft-repair,Own-child,White,Male,0,0,17,United-States,<=50K
25,Private,1443003,11th,7,Married-civ-spouse,Sales,Husband,White,Female,0,0,33,United-States,<=50K
49,Federal-gov,204341,Some-college,10,Never-married,Exec-managerial,Husband,Black,Female,0,0,30,United-States,<=50K
34,Private,679966,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,15,United-States,<=50K
32,Private,45931,Prof-school,15,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,35,United-States,>50K
55,Private,497426,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,25,El-Salvador,<=50K
21,Local-gov,269375,HS-grad,9,Never-married,Machine-op-inspct,Husband,White,Male,0,0,36,United-States,<=50K
31,Private,393372,Assoc-acdm,12,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,0,0,35,United-States,>50K
50,Private,1223347,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,<=50K
20,Self-emp-inc,423074,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,1977,37,United-States,<=50K
62,?,1223402,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,23,United-States,<=50K
34,Private,1343671,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,43,United-States,<=50K
50,Private,816652,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,64,United-States,<=50K
50,Private,813853,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Unmarried,Black,Male,0,0,51,United-States,>50K
35,Private,509010,1st-4th,2,Never-married,Prof-specialty,Own-child,White,Male,0,0,47,United-States,>50K
31,Private,1004372,7th-8th,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,<=50K
37,Private,1212682,Masters,14,Divorced,Other-service,Husband,White,Male,0,0,35,United-States,>50K
47,Private,1296529,9th,5,Never-married,Sales,Husband,White,Female,0,0,34,United-States,>50K
24,Private,302987,9th,5,Widowed,Sales,Unmarried,White,Male,0,0,42,United-States,<=50K
21,Private,1033369,HS-grad,9,Never-married,Tech-support,Other-relative,White,Male,0,0,29,United-States,<=50K
58,Private,220962,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,0,0,42,United-States,<=50K
27,Private,741987,Masters,14,Never-married,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,33,United-States,>50K
42,Self-emp-inc,145655,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,23,United-States,<=50K
35,Self-emp-not-inc,830851,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,33,United-States,<=50K
35,Self-emp-not-inc,1278921,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,53,United-States,<=50K
58,Private,1227906,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,41,United-States,<=50K
36,Private,1075971,7th-8th,4,Separated,Tech-support,Not-in-family,White,Male,0,0,4,United-States,<=50K
33,State-gov,871792,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,33,United-States,<=50K
34,Private,941759,11th,7,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,0,0,49,United-States,<=50K
30,Private,161434,10th,6,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,37,United-States,<=50K
28,Private,1094744,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,>50K
31,Private,1026396,10th,6,Divorced,Machine-op-inspct,Husband,Black,Male,0,0,36,United-States,<=50K
61,?,226352,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,42,United-States,<=50K
47,Private,953337,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,1408,40,United-States,<=50K
33,State-gov,585181,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,34,United-States,>50K
51,Private,770268,11th,7,Divorced,Adm-clerical,Husband,White,Male,0,0,46,United-States,<=50K
17,Private,1223589,Preschool,1,Never-married,Craft-repair,Own-child,White,Male,5060,0,55,United-States,<=50K
57,Private,491962,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,44,United-States,>50K
56,Private,1376230,HS-grad,9,Never-married,Sales,Own-child,White,Female,99999,0,41,United-States,>50K
69,Private,632847,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,7688,0,32,United-States,>50K
52,Private,775973,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,49,United-States,<=50K
44,?,55916,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,35,United-States,<=50K
56,Private,194505,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,<=50K
29,State-gov,431896,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,<=50K
32,Self-emp-inc,1468055,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,50,Mexico,>50K
37,Private,399466,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,0,0,50,United-States,<=50K
57,Self-emp-inc,600407,10th,6,Never-married,Other-service,Wife,White,Male,0,0,50,United-States,<=50K
26,Private,1282914,HS-grad,9,Widowed,Sales,Own-child,White,Male,0,0,27,United-States,<=50K
24,Private,487345,Some-college,10,Never-married,Exec-managerial,Husband,White,Male,0,2174,31,United-States,<=50K
41,Federal-gov,1221811,11th,7,Never-married,Sales,Husband,White,Female,0,0,26,United-States,<=50K
48,Self-emp-inc,191426,HS-grad,9,Never-married,Tech-support,Husband,White,Female,0,2042,26,United-States,>50K
28,Private,211033,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Female,3325,0,55,United-States,>50K
47,Private,31780,HS-grad,9,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,30,?,>50K
57,Private,198687,HS-grad,9,Divorced,Sales,Husband,White,Male,0,0,29,United-States,<=50K
